sample_id,iterations_to_verify,final_verdict,epr_history_explainer,epr_history_verifier,xai_method,llm_pair,Mutated
error_45_InsertHallucination,2,accept,"[0.6419733166694641, 0.5026448965072632, 0.2344721257686615]","[0.9866284132003784, 1.1141774654388428, 1.0611417293548584]",EBM,deepseek_gpt,False
error_161_SwapMinorFeature,1,accept,"[0.6887286305427551, 0.48606762290000916]","[1.0190964937210083, 0.9990352392196655]",Integrated Gradients,deepseek_gpt,False
error_44_InsertHallucination,4,accept,"[0.7523850798606873, 0.4150956869125366, 0.3901981711387634, 0.5688416957855225, 0.5987114906311035]","[1.0051343441009521, 1.0045984983444214, 0.9347922801971436, 0.801371693611145, 1.3025697469711304]",Integrated Gradients,deepseek_gpt,False
error_34_InsertHallucination,2,accept,"[0.6570443511009216, 0.4420328736305237, 0.5119989514350891]","[1.1400026082992554, 1.2410244941711426, 1.1726372241973877]",LIME,deepseek_gpt,False
error_93_InsertHallucination,5,accept,"[0.7168552279472351, 0.6819137334823608, 0.5652554631233215, 0.4807479977607727, 0.6235047578811646, 0.45604807138442993]","[1.173752784729004, 1.0781673192977905, 0.7541499137878418, 0.8709897398948669, 1.2240278720855713, 0.5577061772346497]",Integrated Gradients,deepseek_gpt,False
error_6_InsertHallucination,1,accept,"[0.6507706046104431, 0.8255537152290344]","[1.0260440111160278, 1.1044414043426514]",Integrated Gradients,deepseek_gpt,False
error_198_NegateRelation,1,accept,"[0.48761406540870667, 0.2682665288448334]","[0.9238107800483704, 1.040148377418518]",SHAP,deepseek_gpt,False
error_38_InsertHallucination,1,accept,"[0.4889199435710907, 0.2953130900859833]","[1.1878387928009033, 1.051914930343628]",LIME,deepseek_gpt,False
error_58_InsertHallucination,4,accept,"[0.7163118720054626, 0.5468329787254333, 0.6113244295120239, 0.5535391569137573, 0.3148420453071594]","[1.0587947368621826, 0.8308819532394409, 0.8218698501586914, 0.9813318848609924, 0.9670897722244263]",Integrated Gradients,deepseek_gpt,False
error_80_InsertHallucination,2,accept,"[0.7156920433044434, 0.6387039422988892, 0.6658651828765869]","[1.1341724395751953, 1.164485216140747, 0.619337797164917]",Integrated Gradients,deepseek_gpt,False
error_15_OmitFeature,1,accept,"[0.6072881817817688, 0.568464457988739]","[1.0187642574310303, 0.9490767121315002]",LIME,deepseek_gpt,False
error_11_InsertHallucination,6,accept,"[0.7193036079406738, 0.5518777370452881, 0.6616327166557312, 0.5552708506584167, 0.5123366713523865, 0.5513123273849487, 0.689591109752655]","[0.872582197189331, 1.0824830532073975, 1.0094329118728638, 0.7179762125015259, 1.177595853805542, 1.069994568824768, 0.8098487854003906]",Integrated Gradients,deepseek_gpt,False
error_186_InsertHallucination,10,reject,"[0.5134299993515015, 0.4035647511482239, 0.453411728143692, 0.6437429189682007, 0.2763349413871765, 0.27811750769615173, 0.3289039731025696, 0.4257514476776123, 0.2894963324069977, 0.27990877628326416, 0.30296915769577026]","[1.1017329692840576, 1.166926383972168, 0.6705791354179382, 1.0279834270477295, 0.9039363861083984, 1.242390513420105, 1.1346774101257324, 1.2431257963180542, 1.143511414527893, 1.2296258211135864, 1.2729098796844482]",Integrated Gradients,deepseek_gpt,False
error_54_InsertHallucination,3,accept,"[0.7611706852912903, 0.6954466104507446, 0.376747190952301, 0.6342657804489136]","[1.1512739658355713, 1.1690601110458374, 1.119277000427246, 0.9594570398330688]",Integrated Gradients,deepseek_gpt,False
error_170_InsertHallucination,1,accept,"[0.530738353729248, 0.34857386350631714]","[1.168697714805603, 0.8815293908119202]",SHAP,deepseek_gpt,False
error_135_OmitFeature,1,accept,"[0.6142699122428894, 0.3430899679660797]","[1.0522948503494263, 1.0179548263549805]",LIME,deepseek_gpt,False
error_27_InsertHallucination,1,accept,"[0.509835958480835, 0.25934335589408875]","[1.1259996891021729, 1.0752588510513306]",LIME,deepseek_gpt,False
error_110_InsertHallucination,4,accept,"[0.6645623445510864, 0.5739737153053284, 0.41827309131622314, 0.7811961770057678, 0.4162493348121643]","[1.1533689498901367, 1.1142007112503052, 1.2594763040542603, 0.9273183345794678, 0.6907758116722107]",Integrated Gradients,deepseek_gpt,False
error_39_InsertHallucination,1,accept,"[0.7328134179115295, 0.573333740234375]","[1.0261505842208862, 1.084673523902893]",Integrated Gradients,deepseek_gpt,False
error_180_InsertHallucination,5,accept,"[0.7844375371932983, 0.46467912197113037, 0.5334375500679016, 0.767705500125885, 0.5289506912231445, 0.44863736629486084]","[1.2091578245162964, 1.293784737586975, 1.0269739627838135, 1.1387444734573364, 1.1415849924087524, 0.5895063281059265]",Integrated Gradients,deepseek_gpt,False
error_102_InsertHallucination,8,accept,"[0.5863969922065735, 0.17772793769836426, 0.3186037242412567, 0.24850168824195862, 0.019895728677511215, 0.4030910134315491, 0.1769990175962448, 0.16091768443584442, 0.49358323216438293]","[1.1259504556655884, 1.3119709491729736, 1.2951931953430176, 1.3850140571594238, 1.2854256629943848, 0.9707655310630798, 1.1312029361724854, 0.8755771517753601, 1.0894279479980469]",LIME,deepseek_gpt,False
error_81_InsertHallucination,3,accept,"[0.6433858275413513, 0.5870289206504822, 0.22504732012748718, 0.46059224009513855]","[1.099727749824524, 1.021493911743164, 1.1370164155960083, 0.9400157332420349]",LIME,deepseek_gpt,False
error_137_InsertHallucination,1,accept,"[0.6260271072387695, 0.6056585907936096]","[0.9615287184715271, 0.9573368430137634]",Integrated Gradients,deepseek_gpt,False
error_156_InsertHallucination,3,accept,"[0.5360706448554993, 0.26990649104118347, 0.21279412508010864, 0.2554759085178375]","[1.1420395374298096, 1.1561819314956665, 1.007615327835083, 0.8917927742004395]",LIME,deepseek_gpt,False
error_4_OmitFeature,1,accept,"[0.514299213886261, 0.21768125891685486]","[1.210020661354065, 1.0374988317489624]",EBM,deepseek_gpt,False
gradcampp_sample2_output_explanation_mut4,2,accept,"[1.1, 0.6165367960929871, 0.4776903986930847]","[1.0, 1.1216455698013306, 0.9636691808700562]",Grad-Cam++,deepseek_gpt,True
gradcampp_sample2_output_explanation_mut6,1,accept,"[1.1, 0.39729851484298706]","[1.0, 0.8426346182823181]",Grad-Cam++,deepseek_gpt,True
gradcampp_sample2_output_explanation_mut3,1,accept,"[1.1, 0.6015197038650513]","[1.0, 0.8873933553695679]",Grad-Cam++,deepseek_gpt,True
gradcampp_sample2_output_explanation_mut5,1,accept,"[1.1, 0.7796199321746826]","[1.0, 1.033844232559204]",Grad-Cam++,deepseek_gpt,True
gradcampp_sample2_output_explanation_mut2,1,accept,"[1.1, 0.5235681533813477]","[1.0, 0.8512140512466431]",Grad-Cam++,deepseek_gpt,True
gradcampp_sample2_output_explanation_mut1,2,accept,"[1.1, 0.7098324298858643, 0.6902658939361572]","[1.0, 0.9568049907684326, 0.9311590194702148]",Grad-Cam++,deepseek_gpt,True
int_gradients_sample198_output_explanation_mut4,6,accept,"[1.1, 0.7699692249298096, 0.6323330402374268, 0.34079042077064514, 0.251643568277359, 0.5487725734710693, 0.37294748425483704]","[1.0, 0.9372684359550476, 0.5900893807411194, 0.7496750354766846, 0.9860394597053528, 0.6214215755462646, 1.0921733379364014]",Integrated Gradients,deepseek_gpt,True
int_gradients_sample198_output_explanation_mut6,8,accept,"[1.1, 0.5687354207038879, 0.21687306463718414, 0.5346224904060364, 0.4185119867324829, 0.4759749472141266, 0.3125852942466736, 0.5653488636016846, 0.3226359784603119]","[1.0, 0.7587977647781372, 1.215887427330017, 1.0311566591262817, 0.6917088627815247, 0.7216173410415649, 0.6135051846504211, 0.8547030687332153, 1.0855411291122437]",Integrated Gradients,deepseek_gpt,True
int_gradients_sample198_output_explanation_mut3,3,accept,"[1.1, 0.6290922164916992, 0.3746330738067627, 0.33714550733566284]","[1.0, 1.0110958814620972, 1.1004639863967896, 1.2120552062988281]",Integrated Gradients,deepseek_gpt,True
int_gradients_sample198_output_explanation_mut1,7,accept,"[1.1, 0.3515586853027344, 0.3769599497318268, 0.3709946870803833, 0.515934944152832, 0.48804426193237305, 0.2797403335571289, 0.33886244893074036]","[1.0, 0.9665840268135071, 1.1131222248077393, 0.8337624669075012, 0.8158825635910034, 0.7913130521774292, 0.8532907366752625, 1.130964756011963]",Integrated Gradients,deepseek_gpt,True
int_gradients_sample198_output_explanation_mut5,8,accept,"[1.1, 0.7508131861686707, 0.588442325592041, 0.5627785921096802, 0.19986993074417114, 0.5219011902809143, 0.5236901044845581, 0.4616078734397888, 0.46542975306510925]","[1.0, 0.8054240345954895, 0.9208384156227112, 0.719719409942627, 0.7592037320137024, 0.9616860747337341, 0.6592252850532532, 0.9536387920379639, 0.9827271103858948]",Integrated Gradients,deepseek_gpt,True
int_gradients_sample198_output_explanation_mut2,8,accept,"[1.1, 0.6223872303962708, 0.7104963660240173, 0.4411909878253937, 0.4910796284675598, 0.5109898447990417, 0.3676701784133911, 0.6853444576263428, 0.34734201431274414]","[1.0, 1.0612610578536987, 0.7627644538879395, 1.0367910861968994, 0.8756662607192993, 0.9059284329414368, 0.9172589182853699, 0.8723178505897522, 0.7742617726325989]",Integrated Gradients,deepseek_gpt,True
LIME_diamonds.out_explanation_mut4,2,accept,"[1.1, 0.7678996324539185, 0.5456273555755615]","[1.0, 1.1384785175323486, 1.07950758934021]",LIME,deepseek_gpt,True
LIME_diamonds.out_explanation_mut3,7,accept,"[1.1, 0.9975194931030273, 0.6011646389961243, 0.6333708167076111, 0.6482462286949158, 0.7099433541297913, 0.7594990730285645, 0.4142483174800873]","[1.0, 1.216461181640625, 1.168411135673523, 1.2651822566986084, 1.2093520164489746, 1.203216314315796, 1.1361985206604004, 0.8877168297767639]",LIME,deepseek_gpt,True
LIME_diamonds.out_explanation_mut1,7,accept,"[1.1, 0.721487820148468, 0.4752645194530487, 0.6957216858863831, 0.5532346367835999, 0.7973921895027161, 0.7264558672904968, 0.6009929180145264]","[1.0, 1.181908130645752, 1.0485855340957642, 1.164457082748413, 1.1549432277679443, 1.2410385608673096, 1.0014134645462036, 0.925479531288147]",LIME,deepseek_gpt,True
LIME_diamonds.out_explanation_mut5,5,accept,"[1.1, 0.9214646220207214, 0.5781728625297546, 0.7481467127799988, 2.3729988640752708e-08, 0.4585016369819641]","[1.0, 1.2775007486343384, 1.0084470510482788, 1.181734323501587, 1.0383267402648926, 1.279798984527588]",LIME,deepseek_gpt,True
LIME_diamonds.out_explanation_mut2,2,accept,"[1.1, 0.8693538904190063, 0.44870638847351074]","[1.0, 1.1168358325958252, 1.0633007287979126]",LIME,deepseek_gpt,True
LIME_diamonds.out_explanation_mut6,2,accept,"[1.1, 0.40450921654701233, 0.4309193193912506]","[1.0, 1.1157732009887695, 1.067376971244812]",LIME,deepseek_gpt,True
wine.EBM.out_explanation_mut4,1,accept,"[1.1, 0.37022244930267334]","[1.0, 0.8015096187591553]",EBM,deepseek_gpt,True
wine.EBM.out_explanation_mut5,1,accept,"[1.1, 0.39145150780677795]","[1.0, 0.7050597071647644]",EBM,deepseek_gpt,True
wine.EBM.out_explanation_mut6,1,accept,"[1.1, 0.2729729115962982]","[1.0, 0.7390079498291016]",EBM,deepseek_gpt,True
wine.EBM.out_explanation_mut3,1,accept,"[1.1, 0.2794685661792755]","[1.0, 1.020560622215271]",EBM,deepseek_gpt,True
wine.EBM.out_explanation_mut2,10,reject,"[1.1, 0.2067660242319107, 0.2691846489906311, 0.4949883222579956, 0.3268194794654846, 0.34339290857315063, 1.9705108655898584e-08, 0.5873615145683289, 4.112840557013442e-08, 2.4580273816354747e-08, 5.1470863127178745e-08]","[1.0, 0.9133127331733704, 1.4177321195602417, 0.8809006810188293, 0.8281687498092651, 1.2230383157730103, 0.9799065589904785, 1.0844123363494873, 1.001890778541565, 1.1442524194717407, 0.8839017748832703]",EBM,deepseek_gpt,True
wine.EBM.out_explanation_mut1,4,accept,"[1.1, 8.989475475118525e-08, 8.311054955356667e-09, 1.6635766542094643e-08, 0.8059436082839966]","[1.0, 0.9940536618232727, 0.9025439620018005, 0.839321494102478, 0.9240686893463135]",EBM,deepseek_gpt,True
shap_acs_output_explanation_mut2,1,accept,"[1.1, 0.3255670964717865]","[1.0, 0.8122777342796326]",SHAP,deepseek_gpt,True
shap_acs_output_explanation_mut6,2,accept,"[1.1, 0.17101210355758667, 0.31736379861831665]","[1.0, 0.8520861268043518, 0.7595391273498535]",SHAP,deepseek_gpt,True
shap_acs_output_explanation_mut3,2,accept,"[1.1, 0.7251479625701904, 0.48645487427711487]","[1.0, 1.1256874799728394, 0.7712692618370056]",SHAP,deepseek_gpt,True
shap_acs_output_explanation_mut5,5,accept,"[1.1, 0.28642037510871887, 0.34834596514701843, 0.32534080743789673, 7.4343455835901295e-09, 0.06957980245351791]","[1.0, 1.004378080368042, 0.9143494963645935, 1.2948219776153564, 0.72776859998703, 0.8804519772529602]",SHAP,deepseek_gpt,True
shap_acs_output_explanation_mut4,3,accept,"[1.1, 0.1346844881772995, 0.3003372848033905, 0.35136523842811584]","[1.0, 0.8009312748908997, 0.8715749382972717, 0.7447640299797058]",SHAP,deepseek_gpt,True
shap_acs_output_explanation_mut1,7,accept,"[1.1, 3.866632170002049e-08, 0.25845903158187866, 0.2691573202610016, 0.3323177099227905, 0.09180456399917603, 0.2531205117702484, 0.22033846378326416]","[1.0, 0.8961364030838013, 1.0004318952560425, 1.264725685119629, 1.225175142288208, 1.1717756986618042, 0.9144483804702759, 0.5575873255729675]",SHAP,deepseek_gpt,True
error_155_InsertHallucination,1,accept,"[0.6216874122619629, 0.5679617524147034]","[0.5312821269035339, 0.7911646962165833]",LIME,gpt_qwen,False
error_173_NegateRelation,3,accept,"[0.3410249352455139, 0.6480268836021423, 0.1393348127603531, 0.26656726002693176]","[0.683456301689148, 1.1751139163970947, 1.179681420326233, 0.8760849833488464]",LIME,gpt_qwen,False
error_158_InsertHallucination,7,accept,"[0.5696479678153992, 0.15083473920822144, 0.5691001415252686, 0.6452069282531738, 0.30063101649284363, 0.4894445836544037, 0.320874959230423, 0.27144408226013184]","[0.6089797616004944, 1.0779694318771362, 1.2744076251983643, 1.1449640989303589, 1.175681710243225, 1.335204005241394, 1.0415492057800293, 0.7848953008651733]",LIME,gpt_qwen,False
error_56_InsertHallucination,5,accept,"[0.8536994457244873, 0.4454038441181183, 0.4158971607685089, 0.3644302189350128, 0.2704870104789734, 0.44624897837638855]","[0.5571683049201965, 1.0664886236190796, 0.8962096571922302, 0.9738067388534546, 0.9132821559906006, 0.6628159284591675]",Integrated Gradients,gpt_qwen,False
error_149_NegateRelation,1,accept,"[0.545149028301239, 0.593378484249115]","[0.5803773403167725, 0.9748128652572632]",LIME,gpt_qwen,False
error_29_InsertHallucination,1,accept,"[0.8849493265151978, 0.6210493445396423]","[0.46426424384117126, 0.6931419968605042]",SHAP,gpt_qwen,False
error_176_NegateRelation,1,accept,"[0.4376586973667145, 0.7177342772483826]","[0.7849193215370178, 1.1597602367401123]",LIME,gpt_qwen,False
error_20_InsertHallucination,1,accept,"[0.8854568004608154, 0.4407362937927246]","[0.32876601815223694, 0.5581731796264648]",Integrated Gradients,gpt_qwen,False
error_148_NegateRelation,2,accept,"[0.7007102966308594, 0.6672754287719727, 0.38818785548210144]","[0.5661474466323853, 1.2068146467208862, 0.9574782848358154]",LIME,gpt_qwen,False
error_156_InsertHallucination,3,accept,"[0.8079750537872314, 0.3491889536380768, 0.7250040769577026, 0.5506235361099243]","[0.4127599000930786, 1.2029688358306885, 1.1297742128372192, 0.5255482196807861]",Integrated Gradients,gpt_qwen,False
error_114_NegateRelation,2,accept,"[0.5140520334243774, 0.9453300833702087, 0.6758243441581726]","[0.7854519486427307, 1.0950813293457031, 1.0028669834136963]",LIME,gpt_qwen,False
error_192_NegateRelation,2,accept,"[0.7067025899887085, 0.5856167078018188, 0.27210506796836853]","[0.8199865221977234, 0.9982644319534302, 0.6592136025428772]",LIME,gpt_qwen,False
error_80_InsertHallucination,1,accept,"[0.8125768303871155, 0.46166327595710754]","[0.4799482524394989, 1.0736960172653198]",EBM,gpt_qwen,False
error_46_SwapMinorFeature,2,accept,"[0.7776407599449158, 0.45159655809402466, 0.6068307757377625]","[0.5229117274284363, 0.9904096126556396, 1.0189778804779053]",Integrated Gradients,gpt_qwen,False
error_150_InsertHallucination,1,accept,"[0.47974878549575806, 0.4293689429759979]","[0.4908219277858734, 0.542126476764679]",Integrated Gradients,gpt_qwen,False
error_91_InsertHallucination,1,accept,"[0.7562695145606995, 0.37960606813430786]","[0.49730491638183594, 1.0502978563308716]",Integrated Gradients,gpt_qwen,False
error_104_InsertHallucination,2,accept,"[0.6128241419792175, 0.15913572907447815, 0.20859293639659882]","[0.7796410322189331, 1.215222716331482, 0.8706775903701782]",LIME,gpt_qwen,False
error_25_InsertHallucination,1,accept,"[0.5930300951004028, 0.5162215828895569]","[0.5311635732650757, 0.7674628496170044]",Integrated Gradients,gpt_qwen,False
error_178_InsertHallucination,2,accept,"[0.9542264342308044, 0.556403398513794, 0.4338061511516571]","[0.5982668399810791, 1.0343068838119507, 0.7946834564208984]",EBM,gpt_qwen,False
error_43_InsertHallucination,2,accept,"[0.9332279562950134, 0.5511153936386108, 0.38100114464759827]","[0.5958347320556641, 0.9056700468063354, 0.6756933927536011]",EBM,gpt_qwen,False
error_22_InsertHallucination,1,accept,"[0.8703403472900391, 0.17520193755626678]","[0.683386504650116, 0.6895809769630432]",EBM,gpt_qwen,False
error_89_InsertHallucination,4,accept,"[0.6820500493049622, 0.41101884841918945, 0.5302248597145081, 0.390571266412735, 0.6880888938903809]","[0.6692760586738586, 1.1149600744247437, 1.1362535953521729, 1.0631424188613892, 0.9495528340339661]",LIME,gpt_qwen,False
error_52_InsertHallucination,1,accept,"[0.9364277720451355, 0.3641276955604553]","[0.40073293447494507, 0.7671305537223816]",EBM,gpt_qwen,False
error_66_InsertHallucination,1,accept,"[0.630470871925354, 0.5005111694335938]","[0.6132819652557373, 0.9009178280830383]",LIME,gpt_qwen,False
error_129_InsertHallucination,1,accept,"[0.9325725436210632, 0.5519619584083557]","[0.6436454057693481, 0.8871573805809021]",SHAP,gpt_qwen,False
gradcampp_sample2_output_explanation_mut4,1,accept,"[1.1, 0.7258907556533813]","[1.0, 0.9002813696861267]",Grad-Cam++,gpt_qwen,True
gradcampp_sample2_output_explanation_mut6,1,accept,"[1.1, 0.5774597525596619]","[1.0, 0.9329484105110168]",Grad-Cam++,gpt_qwen,True
gradcampp_sample2_output_explanation_mut3,2,accept,"[1.1, 0.6864581108093262, 0.590940535068512]","[1.0, 1.1236562728881836, 0.7232163548469543]",Grad-Cam++,gpt_qwen,True
gradcampp_sample2_output_explanation_mut5,1,accept,"[1.1, 0.739626407623291]","[1.0, 0.9360527396202087]",Grad-Cam++,gpt_qwen,True
